what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437066720797
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437066721711
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437066723085
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1437066724059
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437066732124
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437066732215
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437066735422
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1437066735456
closed,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1437066735482
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437066744375
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437066753460
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437066753770
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437066837761
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1437066842329
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437066892270
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437066903501
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1437066970150
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1437066972404
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1437066976955
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1437066997513
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437067006613
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437067009618
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437067010663
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437067013332
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1437067050581
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1437067058350
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437067066937
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437067131434
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1437067136154
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1437067140605
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1437067142502
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1437067147647
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1437067162234
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1437067163814
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1437067165583
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1437067168057
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1437067218445
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437067236288
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437067248449
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1437067249730
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1437067257463
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1437067262463
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1437067270023
